"riding_id","election_id","order","cre_id","party_name","candidate_name","re_id","votes","votes_percent","delta_percent","expenditures","elected"
"Ajax","F2015",2,"F2015:Ajax:Stephanie Brown:New Democratic","New Democratic","Stephanie Brown","F2015:Ajax",4630,8.22,NA,"3065.75",FALSE
"Alfred-Pellan","F2015",0,"F2015:Alfred-Pellan:Angelo Iacono:Liberal","Liberal","Angelo Iacono","F2015:Alfred-Pellan",24557,44.51,NA,"112927.21",TRUE
"Alfred-Pellan","F2015",2,"F2015:Alfred-Pellan:Daniel St-Hilaire:Bloc Québécois","Bloc Québécois","Daniel St-Hilaire","F2015:Alfred-Pellan",9836,17.83,NA,"39062.31",FALSE
"Alfred-Pellan","F2015",3,"F2015:Alfred-Pellan:Gabriel Purcarus:Conservative","Conservative","Gabriel Purcarus","F2015:Alfred-Pellan",6259,11.35,NA,"8181.47",FALSE
"Alfred-Pellan","F2015",4,"F2015:Alfred-Pellan:Lynda Briguene:Green","Green","Lynda Briguene","F2015:Alfred-Pellan",1089,1.97,NA,"4610.57",FALSE
"Alfred-Pellan","F2015",1,"F2015:Alfred-Pellan:Rosane Doré Lefebvre:New Democratic","New Democratic","Rosane Doré Lefebvre","F2015:Alfred-Pellan",13225,23.97,NA,"58909.82",FALSE
"Algoma-Manitoulin-Kapuskasing","F2015",2,"F2015:Algoma-Manitoulin-Kapuskasing:André Robichaud:Conservative","Conservative","André Robichaud","F2015:Algoma-Manitoulin-Kapuskasing",9820,23.73,NA,"54344.43",FALSE
"Algoma-Manitoulin-Kapuskasing","F2015",3,"F2015:Algoma-Manitoulin-Kapuskasing:Calvin John Orok:Green","Green","Calvin John Orok","F2015:Algoma-Manitoulin-Kapuskasing",927,2.24,NA,NA,FALSE
"Algoma-Manitoulin-Kapuskasing","F2015",0,"F2015:Algoma-Manitoulin-Kapuskasing:Carol Hughes:New Democratic","New Democratic","Carol Hughes","F2015:Algoma-Manitoulin-Kapuskasing",16516,39.92,NA,"79801.31",TRUE
"Algoma-Manitoulin-Kapuskasing","F2015",1,"F2015:Algoma-Manitoulin-Kapuskasing:Heather Wilson:Liberal","Liberal","Heather Wilson","F2015:Algoma-Manitoulin-Kapuskasing",14111,34.11,NA,"36962.72",FALSE
"Argenteuil-La Petite-Nation","F2015",4,"F2015:Argenteuil-La Petite-Nation:Audrey Lamarche:Green","Green","Audrey Lamarche","F2015:Argenteuil-La Petite-Nation",1118,2.19,NA,"839.35",FALSE
"Argenteuil-La Petite-Nation","F2015",1,"F2015:Argenteuil-La Petite-Nation:Chantal Crête:New Democratic","New Democratic","Chantal Crête","F2015:Argenteuil-La Petite-Nation",12650,24.77,NA,"46712.51",FALSE
"Argenteuil-La Petite-Nation","F2015",2,"F2015:Argenteuil-La Petite-Nation:Jonathan Beauchamp:Bloc Québécois","Bloc Québécois","Jonathan Beauchamp","F2015:Argenteuil-La Petite-Nation",9525,18.65,NA,NA,FALSE
"Argenteuil-La Petite-Nation","F2015",3,"F2015:Argenteuil-La Petite-Nation:Maxime Hupé-Labelle:Conservative","Conservative","Maxime Hupé-Labelle","F2015:Argenteuil-La Petite-Nation",5680,11.12,NA,"24593.67",FALSE
"Argenteuil-La Petite-Nation","F2015",0,"F2015:Argenteuil-La Petite-Nation:Stéphane Lauzon:Liberal","Liberal","Stéphane Lauzon","F2015:Argenteuil-La Petite-Nation",22093,43.26,NA,"52794.82",TRUE
"Aurora-Oak Ridges-Richmond Hill","F2015",2,"F2015:Aurora-Oak Ridges-Richmond Hill:Brenda Power:New Democratic","New Democratic","Brenda Power","F2015:Aurora-Oak Ridges-Richmond Hill",2912,5.71,NA,"1887.13",FALSE
"Aurora-Oak Ridges-Richmond Hill","F2015",1,"F2015:Aurora-Oak Ridges-Richmond Hill:Costas Menegakis:Conservative","Conservative","Costas Menegakis","F2015:Aurora-Oak Ridges-Richmond Hill",23039,45.19,NA,"150877.75",FALSE
"Aurora-Oak Ridges-Richmond Hill","F2015",0,"F2015:Aurora-Oak Ridges-Richmond Hill:Leona Alleslev:Liberal","Liberal","Leona Alleslev","F2015:Aurora-Oak Ridges-Richmond Hill",24132,47.34,NA,"76512.44",TRUE
"Aurora-Oak Ridges-Richmond Hill","F2015",3,"F2015:Aurora-Oak Ridges-Richmond Hill:Randi Ramdeen:Green","Green","Randi Ramdeen","F2015:Aurora-Oak Ridges-Richmond Hill",654,1.28,NA,NA,FALSE
"Avalon","F2015",2,"F2015:Avalon:Jeannie Baldwin:New Democratic","New Democratic","Jeannie Baldwin","F2015:Avalon",6075,14.43,NA,"70840.75",FALSE
"Avalon","F2015",0,"F2015:Avalon:Ken McDonald:Liberal","Liberal","Ken McDonald","F2015:Avalon",23528,55.9,NA,"70924.68",TRUE
"Avalon","F2015",4,"F2015:Avalon:Krista Byrne-Puumala:Green","Green","Krista Byrne-Puumala","F2015:Avalon",228,0.54,NA,"76.49",FALSE
"Avalon","F2015",3,"F2015:Avalon:Lorraine E. Barnett:Conservative","Conservative","Lorraine E. Barnett","F2015:Avalon",4670,11.1,NA,"58123.54",FALSE
"Avignon-La Mitis-Matane-Matapédia","F2015",4,"F2015:Avignon-La Mitis-Matane-Matapédia:André Savoie:Conservative","Conservative","André Savoie","F2015:Avignon-La Mitis-Matane-Matapédia",2228,6.13,NA,"4967.68",FALSE
"Avignon-La Mitis-Matane-Matapédia","F2015",2,"F2015:Avignon-La Mitis-Matane-Matapédia:Joël Charest:New Democratic","New Democratic","Joël Charest","F2015:Avignon-La Mitis-Matane-Matapédia",7340,20.19,NA,"14775.78",FALSE
"Avignon-La Mitis-Matane-Matapédia","F2015",1,"F2015:Avignon-La Mitis-Matane-Matapédia:Kédina Fleury-Samson:Bloc Québécois","Bloc Québécois","Kédina Fleury-Samson","F2015:Avignon-La Mitis-Matane-Matapédia",7641,21.02,NA,"33559.21",FALSE
"Avignon-La Mitis-Matane-Matapédia","F2015",0,"F2015:Avignon-La Mitis-Matane-Matapédia:Rémi Massé:Liberal","Liberal","Rémi Massé","F2015:Avignon-La Mitis-Matane-Matapédia",14378,39.55,NA,"63694.54",TRUE
"Avignon-La Mitis-Matane-Matapédia","F2015",5,"F2015:Avignon-La Mitis-Matane-Matapédia:Sherri Springle:Green","Green","Sherri Springle","F2015:Avignon-La Mitis-Matane-Matapédia",365,1,NA,NA,FALSE
"Banff-Airdrie","F2015",0,"F2015:Banff-Airdrie:Blake Richards:Conservative","Conservative","Blake Richards","F2015:Banff-Airdrie",42228,63.37,NA,"86619.91",TRUE
"Banff-Airdrie","F2015",2,"F2015:Banff-Airdrie:Joanne Boissonneault:New Democratic","New Democratic","Joanne Boissonneault","F2015:Banff-Airdrie",4521,6.78,NA,"17953.2",FALSE
"Banff-Airdrie","F2015",1,"F2015:Banff-Airdrie:Marlo Raynolds:Liberal","Liberal","Marlo Raynolds","F2015:Banff-Airdrie",17380,26.08,NA,"72801.97",FALSE
"Banff-Airdrie","F2015",3,"F2015:Banff-Airdrie:Mike MacDonald:Green","Green","Mike MacDonald","F2015:Banff-Airdrie",2509,3.77,NA,"3011.33",FALSE
